"","sum","sample_name","mesocosm","type","day","dispersal","temperature","infusion","variable","value","rowid"
"137",22278,"M_D21_SW3_4_S353_L001","SW3.4","Microbial Water","20","D","C","SW","Otu0001",64,137
"138",29791,"M_D21_SW3_5_S354_L001","SW3.5","Microbial Water","20","N","H","SW","Otu0001",123,138
"139",21398,"M_D21_SW3_6_S355_L001","SW3.6","Microbial Water","20","N","H","SW","Otu0001",40,139
"140",16982,"M_D21_SW3_7_S356_L001","SW3.7","Microbial Water","20","D","H","SW","Otu0001",21,140
"141",13400,"M_D21_SW3_8_S357_L001","SW3.8","Microbial Water","20","D","H","SW","Otu0001",19,141
"142",17327,"M_D5_OL1_1_S358_L001","OL1.1","Microbial Water","4","N","C","OL","Otu0001",62,142
"143",12122,"M_D5_OL1_2_S359_L001","OL1.2","Microbial Water","4","N","C","OL","Otu0001",24,143
"144",17143,"M_D5_OL1_3_S360_L001","OL1.3","Microbial Water","4","D","C","OL","Otu0001",97,144
"145",16614,"M_D5_OL1_4_S361_L001","OL1.4","Microbial Water","4","D","C","OL","Otu0001",30,145
"146",21221,"M_D5_OL1_5_S362_L001","OL1.5","Microbial Water","4","N","H","OL","Otu0001",90,146
"147",26922,"M_D5_OL1_6_S363_L001","OL1.6","Microbial Water","4","N","H","OL","Otu0001",56,147
"148",29553,"M_D5_OL1_7_S364_L001","OL1.7","Microbial Water","4","D","H","OL","Otu0001",30,148
"149",25927,"M_D5_OL1_8_S365_L001","OL1.8","Microbial Water","4","D","H","OL","Otu0001",65,149
"150",29777,"M_D5_OL2_1_S366_L001","OL2.1","Microbial Water","4","N","C","OL","Otu0001",102,150
"151",31209,"M_D5_OL2_2_S367_L001","OL2.2","Microbial Water","4","N","C","OL","Otu0001",123,151
"152",29723,"M_D5_OL2_3_S368_L001","OL2.3","Microbial Water","4","D","C","OL","Otu0001",102,152
"153",16381,"M_D5_OL2_4_S369_L001","OL2.4","Microbial Water","4","D","C","OL","Otu0001",70,153
"154",15411,"M_D5_OL2_5_S370_L001","OL2.5","Microbial Water","4","N","H","OL","Otu0001",47,154
"155",14493,"M_D5_OL2_6_S371_L001","OL2.6","Microbial Water","4","N","H","OL","Otu0001",51,155
"156",17917,"M_D5_OL2_7_S372_L001","OL2.7","Microbial Water","4","D","H","OL","Otu0001",29,156
"157",16880,"M_D5_OL2_8_S373_L001","OL2.8","Microbial Water","4","D","H","OL","Otu0001",33,157
"158",21182,"M_D5_OL3_1_S374_L001","OL3.1","Microbial Water","4","N","C","OL","Otu0001",50,158
"159",18826,"M_D5_OL3_2_S375_L001","OL3.2","Microbial Water","4","N","C","OL","Otu0001",75,159
"160",36226,"M_D5_OL3_3_S376_L001","OL3.3","Microbial Water","4","D","C","OL","Otu0001",114,160
"161",32033,"M_D5_OL3_4_S377_L001","OL3.4","Microbial Water","4","D","C","OL","Otu0001",85,161
"162",31235,"M_D5_OL3_5_S378_L001","OL3.5","Microbial Water","4","N","H","OL","Otu0001",100,162
"163",62069,"M_D5_OL3_6_S468_L001","OL3.6","Microbial Water","4","N","H","OL","Otu0001",91,163
"164",66176,"M_D5_OL3_7_S380_L001","OL3.7","Microbial Water","4","D","H","OL","Otu0001",189,164
"165",63408,"M_D5_OL3_8_S381_L001","OL3.8","Microbial Water","4","D","H","OL","Otu0001",242,165
"166",63949,"M_D5_SG1_1_S382_L001","SG1.1","Microbial Water","4","N","C","SG","Otu0001",186,166
"167",47874,"M_D5_SG1_2_S383_L001","SG1.2","Microbial Water","4","N","C","SG","Otu0001",137,167
"168",47316,"M_D5_SG1_3_S384_L001","SG1.3","Microbial Water","4","D","C","SG","Otu0001",144,168
"169",20040,"M_D5_SG1_4_S385_L001","SG1.4","Microbial Water","4","D","C","SG","Otu0001",65,169
"170",22810,"M_D5_SG1_5_S386_L001","SG1.5","Microbial Water","4","N","H","SG","Otu0001",80,170
"171",17252,"M_D5_SG1_7_S388_L001","SG1.7","Microbial Water","4","D","H","SG","Otu0001",42,171
"172",9237,"M_D5_SG1_8_S389_L001","SG1.8","Microbial Water","4","D","H","SG","Otu0001",33,172
"173",33694,"M_D5_SG2_1_S390_L001","SG2.1","Microbial Water","4","N","C","SG","Otu0001",109,173
"174",17077,"M_D5_SG2_2_S391_L001","SG2.2","Microbial Water","4","N","C","SG","Otu0001",54,174
"175",43499,"M_D5_SG2_3_S392_L001","SG2.3","Microbial Water","4","D","C","SG","Otu0001",132,175
"176",11257,"M_D5_SG2_5_S394_L001","SG2.5","Microbial Water","4","N","H","SG","Otu0001",19,176
"177",36265,"M_D5_SG2_6_S395_L001","SG2.6","Microbial Water","4","N","H","SG","Otu0001",145,177
"178",35254,"M_D5_SG2_7_S396_L001","SG2.7","Microbial Water","4","D","H","SG","Otu0001",178,178
"179",29466,"M_D5_SG2_8_S397_L001","SG2.8","Microbial Water","4","D","H","SG","Otu0001",75,179
"180",29098,"M_D5_SG3_1_S398_L001","SG3.1","Microbial Water","4","N","C","SG","Otu0001",89,180
"181",34789,"M_D5_SG3_2_S399_L001","SG3.2","Microbial Water","4","N","C","SG","Otu0001",104,181
"182",34186,"M_D5_SG3_3_S400_L001","SG3.3","Microbial Water","4","D","C","SG","Otu0001",146,182
"183",22398,"M_D5_SG3_4_S401_L001","SG3.4","Microbial Water","4","D","C","SG","Otu0001",42,183
"184",36986,"M_D5_SG3_5_S402_L001","SG3.5","Microbial Water","4","N","H","SG","Otu0001",119,184
"185",34281,"M_D5_SG3_6_S403_L001","SG3.6","Microbial Water","4","N","H","SG","Otu0001",119,185
"186",29752,"M_D5_SG3_7_S404_L001","SG3.7","Microbial Water","4","D","H","SG","Otu0001",101,186
"187",16084,"M_D5_SG3_8_S405_L001","SG3.8","Microbial Water","4","D","H","SG","Otu0001",27,187
"188",52361,"M_D5_SW1_1_S406_L001","SW1.1","Microbial Water","4","N","C","SW","Otu0001",258,188
"189",55623,"M_D5_SW1_2_S407_L001","SW1.2","Microbial Water","4","N","C","SW","Otu0001",169,189
"190",51254,"M_D5_SW1_3_S408_L001","SW1.3","Microbial Water","4","D","C","SW","Otu0001",173,190
"191",42549,"M_D5_SW1_4_S409_L001","SW1.4","Microbial Water","4","D","C","SW","Otu0001",110,191
"192",44768,"M_D5_SW1_5_S410_L001","SW1.5","Microbial Water","4","N","H","SW","Otu0001",156,192
"193",42813,"M_D5_SW1_6_S411_L001","SW1.6","Microbial Water","4","N","H","SW","Otu0001",170,193
"194",44578,"M_D5_SW1_7_S412_L001","SW1.7","Microbial Water","4","D","H","SW","Otu0001",104,194
"195",36076,"M_D5_SW1_8_S413_L001","SW1.8","Microbial Water","4","D","H","SW","Otu0001",90,195
"196",64191,"M_D5_SW2_1_S414_L001","SW2.1","Microbial Water","4","N","C","SW","Otu0001",212,196
"197",49930,"M_D5_SW2_2_S415_L001","SW2.2","Microbial Water","4","N","C","SW","Otu0001",89,197
"198",68028,"M_D5_SW2_3_S416_L001","SW2.3","Microbial Water","4","D","C","SW","Otu0001",248,198
"199",56080,"M_D5_SW2_4_S417_L001","SW2.4","Microbial Water","4","D","C","SW","Otu0001",170,199
"200",49549,"M_D5_SW2_5_S418_L001","SW2.5","Microbial Water","4","N","H","SW","Otu0001",141,200
"201",53283,"M_D5_SW2_6_S419_L001","SW2.6","Microbial Water","4","N","H","SW","Otu0001",134,201
"202",56698,"M_D5_SW2_7_S420_L001","SW2.7","Microbial Water","4","D","H","SW","Otu0001",210,202
"203",44364,"M_D5_SW2_8_S421_L001","SW2.8","Microbial Water","4","D","H","SW","Otu0001",141,203
"204",44526,"M_D5_SW3_1_S422_L001","SW3.1","Microbial Water","4","N","C","SW","Otu0001",114,204
"205",47849,"M_D5_SW3_2_S423_L001","SW3.2","Microbial Water","4","N","C","SW","Otu0001",196,205
"206",45819,"M_D5_SW3_3_S424_L001","SW3.3","Microbial Water","4","D","C","SW","Otu0001",139,206
"207",37500,"M_D5_SW3_4_S425_L001","SW3.4","Microbial Water","4","D","C","SW","Otu0001",97,207
"208",33123,"M_D5_SW3_5_S426_L001","SW3.5","Microbial Water","4","N","H","SW","Otu0001",143,208
"209",37989,"M_D5_SW3_6_S427_L001","SW3.6","Microbial Water","4","N","H","SW","Otu0001",179,209
"210",44036,"M_D5_SW3_7_S428_L001","SW3.7","Microbial Water","4","D","H","SW","Otu0001",104,210
"211",43600,"M_D5_SW3_8_S429_L001","SW3.8","Microbial Water","4","D","H","SW","Otu0001",144,211
"212",25797,"M_D13_OL1_1_S216_L001","OL1.1","Microbial Water","12","N","C","OL","Otu0002",15276,212
"213",34134,"M_D13_OL1_2_S217_L001","OL1.2","Microbial Water","12","N","C","OL","Otu0002",21476,213
"214",15861,"M_D13_OL1_3_S218_L001","OL1.3","Microbial Water","12","D","C","OL","Otu0002",9947,214
"215",49290,"M_D13_OL1_4_S219_L001","OL1.4","Microbial Water","12","D","C","OL","Otu0002",31741,215
"216",44524,"M_D13_OL1_6_S221_L001","OL1.6","Microbial Water","12","N","H","OL","Otu0002",24992,216
"217",32244,"M_D13_OL1_7_S222_L001","OL1.7","Microbial Water","12","D","H","OL","Otu0002",16967,217
"218",32456,"M_D13_OL1_8_S223_L001","OL1.8","Microbial Water","12","D","H","OL","Otu0002",17353,218
"219",39177,"M_D13_OL2_1_S224_L001","OL2.1","Microbial Water","12","N","C","OL","Otu0002",22276,219
"220",31583,"M_D13_OL2_2_S225_L001","OL2.2","Microbial Water","12","N","C","OL","Otu0002",20969,220
"221",23414,"M_D13_OL2_3_S226_L001","OL2.3","Microbial Water","12","D","C","OL","Otu0002",15679,221
"222",36063,"M_D13_OL2_4_S227_L001","OL2.4","Microbial Water","12","D","C","OL","Otu0002",22275,222
"223",21732,"M_D13_OL2_5_S228_L001","OL2.5","Microbial Water","12","N","H","OL","Otu0002",12850,223
"224",29456,"M_D13_OL2_6_S229_L001","OL2.6","Microbial Water","12","N","H","OL","Otu0002",15813,224
"225",28640,"M_D13_OL2_7_S230_L001","OL2.7","Microbial Water","12","D","H","OL","Otu0002",13019,225
"226",30425,"M_D13_OL2_8_S231_L001","OL2.8","Microbial Water","12","D","H","OL","Otu0002",14011,226
"227",25545,"M_D13_OL3_1_S232_L001","OL3.1","Microbial Water","12","N","C","OL","Otu0002",14794,227
"228",32992,"M_D13_OL3_2_S233_L001","OL3.2","Microbial Water","12","N","C","OL","Otu0002",19398,228
"229",34293,"M_D13_OL3_3_S234_L001","OL3.3","Microbial Water","12","D","C","OL","Otu0002",18486,229
"230",33392,"M_D13_OL3_4_S235_L001","OL3.4","Microbial Water","12","D","C","OL","Otu0002",18526,230
"231",22690,"M_D13_OL3_5_S236_L001","OL3.5","Microbial Water","12","N","H","OL","Otu0002",12392,231
"232",40923,"M_D13_OL3_6_S237_L001","OL3.6","Microbial Water","12","N","H","OL","Otu0002",21374,232
"233",26840,"M_D13_OL3_7_S238_L001","OL3.7","Microbial Water","12","D","H","OL","Otu0002",14419,233
"234",19789,"M_D13_OL3_8_S239_L001","OL3.8","Microbial Water","12","D","H","OL","Otu0002",9872,234
"235",16223,"M_D13_SG1_1_S240_L001","SG1.1","Microbial Water","12","N","C","SG","Otu0002",12882,235
"236",13958,"M_D13_SG1_2_S241_L001","SG1.2","Microbial Water","12","N","C","SG","Otu0002",10007,236
"237",25151,"M_D13_SG1_3_S242_L001","SG1.3","Microbial Water","12","D","C","SG","Otu0002",17803,237
"238",17796,"M_D13_SG1_4_S243_L001","SG1.4","Microbial Water","12","D","C","SG","Otu0002",13391,238
"239",16352,"M_D13_SG1_5_S244_L001","SG1.5","Microbial Water","12","N","H","SG","Otu0002",11452,239
"240",29384,"M_D13_SG1_6_S245_L001","SG1.6","Microbial Water","12","N","H","SG","Otu0002",19947,240
"241",20666,"M_D13_SG1_7_S246_L001","SG1.7","Microbial Water","12","D","H","SG","Otu0002",15390,241
"242",27823,"M_D13_SG1_8_S247_L001","SG1.8","Microbial Water","12","D","H","SG","Otu0002",20266,242
"243",18245,"M_D13_SG2_1_S248_L001","SG2.1","Microbial Water","12","N","C","SG","Otu0002",14398,243
"244",22164,"M_D13_SG2_2_S249_L001","SG2.2","Microbial Water","12","N","C","SG","Otu0002",18358,244
"245",25350,"M_D13_SG2_3_S250_L001","SG2.3","Microbial Water","12","D","C","SG","Otu0002",20980,245
"246",18306,"M_D13_SG2_4_S251_L001","SG2.4","Microbial Water","12","D","C","SG","Otu0002",14840,246
"247",13094,"M_D13_SG2_5_S252_L001","SG2.5","Microbial Water","12","N","H","SG","Otu0002",8855,247
