"","sample_name","Observed","Shannon","InvSimpson","orgname","X16scq","totsum","rspsum","mesocosm","type","stage","sex","date.collected","day","abdomen.length.mm","wing.length","hindleg.length","special","dispersal","temperature","infusion","Wolb_ct1","Wolb_ct2","Act_ct","notes","newday","lib_size","is.neg","even","lib_size_clean"
"40","M_D13_SG3_2_S257_L001",26,1.23116718370925,1.82446546977076,"M_D13_SG3.2",NA,28723,26812,"SG3.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",28723,FALSE,0.377879282992914,9200
"41","M_D13_SG3_3_S258_L001",23,1.11000910376065,1.6817257685451,"M_D13_SG3.3",NA,22766,21322,"SG3.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",22766,FALSE,0.354014081136399,9200
"42","M_D13_SG3_4_S259_L001",28,1.24799714391179,1.84935387106647,"M_D13_SG3.4",NA,36290,33899,"SG3.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",36290,FALSE,0.374525975251794,9200
"43","M_D13_SG3_5_S260_L001",21,1.34185919279265,2.00269426737757,"M_D13_SG3.5",NA,21734,19834,"SG3.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","early",21734,FALSE,0.44074537804886,9200
"44","M_D13_SG3_6_S261_L001",22,1.32246283456774,1.97953936511888,"M_D13_SG3.6",NA,22536,20835,"SG3.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","early",22536,FALSE,0.427837163197462,9200
"45","M_D13_SG3_7_S262_L001",21,1.17244597789241,1.74712820961014,"M_D13_SG3.7",NA,17221,15978,"SG3.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SG",NA,NA,NA,"","early",17221,FALSE,0.38510012715463,9200
"46","M_D13_SG3_8_S263_L001",21,1.03773135763819,1.57929352140361,"M_D13_SG3.8",NA,15309,14265,"SG3.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SG",NA,NA,NA,"","early",15309,FALSE,0.340851932894332,9200
"47","M_D13_SW1_1_S264_L001",15,1.58424538449286,3.33967044744403,"M_D13_SW1.1",NA,18733,17179,"SW1.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SW",NA,NA,NA,"","early",18733,FALSE,0.585013299918905,9200
"48","M_D13_SW1_2_S265_L001",18,1.65869890185711,3.63432693931103,"M_D13_SW1.2",NA,15053,13836,"SW1.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SW",NA,NA,NA,"","early",15053,FALSE,0.573870436329075,9200
"49","M_D13_SW1_3_S266_L001",20,1.61093011797151,3.31031340971042,"M_D13_SW1.3",NA,25973,23773,"SW1.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SW",NA,NA,NA,"","early",25973,FALSE,0.537741684125992,9200
"50","M_D13_SW1_4_S267_L001",19,1.45940414337288,2.88360654687707,"M_D13_SW1.4",NA,22678,21316,"SW1.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SW",NA,NA,NA,"","early",22678,FALSE,0.495647610189574,9200
"51","M_D13_SW1_5_S268_L001",23,1.69729954970563,3.94367772176198,"M_D13_SW1.5",NA,38842,36533,"SW1.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SW",NA,NA,NA,"","early",38842,FALSE,0.541318029254493,9200
"52","M_D13_SW1_6_S269_L001",22,1.6709427267469,3.81948665630026,"M_D13_SW1.6",NA,40625,38032,"SW1.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SW",NA,NA,NA,"","early",40625,FALSE,0.540575793429001,9200
"53","M_D13_SW1_7_S270_L001",19,1.70736781700535,3.92454087183972,"M_D13_SW1.7",NA,21656,19863,"SW1.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SW",NA,NA,NA,"","early",21656,FALSE,0.579861844339766,9200
"54","M_D13_SW1_8_S271_L001",18,1.58731056576812,3.48210214308906,"M_D13_SW1.8",NA,26330,24660,"SW1.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SW",NA,NA,NA,"","early",26330,FALSE,0.54917176706829,9200
"55","M_D13_SW2_1_S461_L001",18,1.58168007443868,3.24565190398668,"M_D13_SW2.1",NA,30490,28104,"SW2.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SW",NA,NA,NA,"","early",30490,FALSE,0.547223750757219,9200
"56","M_D13_SW2_2_S272_L001",19,1.60056420077089,3.44787552778281,"M_D13_SW2.2",NA,26891,24879,"SW2.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SW",NA,NA,NA,"","early",26891,FALSE,0.54358885074399,9200
"57","M_D13_SW2_3_S273_L001",19,1.59873375630251,3.41938848212279,"M_D13_SW2.3",NA,26418,24600,"SW2.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SW",NA,NA,NA,"","early",26418,FALSE,0.542967189204615,9200
"58","M_D13_SW2_4_S274_L001",19,1.62373674190288,3.52739036959083,"M_D13_SW2.4",NA,29091,26768,"SW2.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SW",NA,NA,NA,"","early",29091,FALSE,0.551458784981361,9200
"59","M_D13_SW2_5_S275_L001",17,1.69309548208289,3.94907779888556,"M_D13_SW2.5",NA,17144,15926,"SW2.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SW",NA,NA,NA,"","early",17144,FALSE,0.597588418688917,9200
"60","M_D13_SW2_6_S276_L001",24,1.61120264195289,3.50701365439856,"M_D13_SW2.6",NA,34200,32236,"SW2.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SW",NA,NA,NA,"","early",34200,FALSE,0.506977769403135,9200
"61","M_D13_SW2_7_S277_L001",18,1.75435066918543,4.25525710772226,"M_D13_SW2.7",NA,24687,22845,"SW2.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SW",NA,NA,NA,"","early",24687,FALSE,0.606963676694093,9200
"62","M_D13_SW2_8_S278_L001",16,1.61975628558657,3.78327789382989,"M_D13_SW2.8",NA,17957,16979,"SW2.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SW",NA,NA,NA,"","early",17957,FALSE,0.584203590166117,9200
"63","M_D13_SW3_1_S279_L001",19,1.64648905254239,3.64312398225819,"M_D13_SW3.1",NA,25173,23183,"SW3.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SW",NA,NA,NA,"","early",25173,FALSE,0.559185999163924,9200
"64","M_D13_SW3_2_S280_L001",21,1.6324967908362,3.50976655573969,"M_D13_SW3.2",NA,32434,29773,"SW3.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SW",NA,NA,NA,"","early",32434,FALSE,0.536207836936463,9200
"65","M_D13_SW3_3_S281_L001",18,1.58131594171946,3.47304573472726,"M_D13_SW3.3",NA,23737,21956,"SW3.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SW",NA,NA,NA,"","early",23737,FALSE,0.547097769482243,9200
"66","M_D13_SW3_4_S282_L001",18,1.50025148140652,3.14536693841785,"M_D13_SW3.4",NA,22840,21259,"SW3.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SW",NA,NA,NA,"","early",22840,FALSE,0.519051390987336,9200
"67","M_D13_SW3_5_S283_L001",22,1.65425192642883,3.53168460187183,"M_D13_SW3.5",NA,34205,31533,"SW3.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SW",NA,NA,NA,"","early",34205,FALSE,0.535176061600687,9200
"68","M_D13_SW3_6_S284_L001",20,1.64310416454173,3.5565664242145,"M_D13_SW3.6",NA,29218,27046,"SW3.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SW",NA,NA,NA,"","early",29218,FALSE,0.548481644720686,9200
"69","M_D13_SW3_7_S285_L001",23,1.64060047135451,3.52713224812342,"M_D13_SW3.7",NA,29584,27389,"SW3.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SW",NA,NA,NA,"","early",29584,FALSE,0.523235049524193,9200
"70","M_D13_SW3_8_S286_L001",22,1.57683493083719,3.32185023918578,"M_D13_SW3.8",NA,30900,29270,"SW3.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SW",NA,NA,NA,"","early",30900,FALSE,0.51013046719045,9200
"71","M_D21_OL1_1_S287_L001",24,1.65947081382612,2.82483669580347,"M_D21_OL1.1",NA,21015,18760,"OL1.1","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","mid",21015,FALSE,0.522165734884494,9200
"72","M_D21_OL1_2_S288_L001",29,1.48015164961026,2.19172974190725,"M_D21_OL1.2",NA,29867,27547,"OL1.2","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","mid",29867,FALSE,0.439566858494937,9200
"73","M_D21_OL1_3_S289_L001",28,1.5250201782815,2.29681603876626,"M_D21_OL1.3",NA,33671,30897,"OL1.3","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","mid",33671,FALSE,0.45766103899827,9200
"74","M_D21_OL1_4_S290_L001",27,1.62965961353272,2.50815699237365,"M_D21_OL1.4",NA,30036,27244,"OL1.4","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","mid",30036,FALSE,0.494460035429006,9200
"75","M_D21_OL1_5_S291_L001",29,1.86463406942434,3.25882543368483,"M_D21_OL1.5",NA,29524,25436,"OL1.5","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","mid",29524,FALSE,0.553748219214772,9200
"76","M_D21_OL1_6_S292_L001",27,1.75293334693813,2.97132315084106,"M_D21_OL1.6",NA,29723,26542,"OL1.6","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","mid",29723,FALSE,0.53186289801512,9200
"77","M_D21_OL1_7_S293_L001",27,1.69104659160007,2.67187336835474,"M_D21_OL1.7",NA,30401,27154,"OL1.7","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","mid",30401,FALSE,0.513085647242665,9200
"78","M_D21_OL1_8_S294_L001",29,1.45626604968306,2.22311735264966,"M_D21_OL1.8",NA,36718,33590,"OL1.8","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","mid",36718,FALSE,0.432473451460577,9200
"79","M_D21_OL2_1_S295_L001",22,1.69347968452514,2.7648530985595,"M_D21_OL2.1",NA,25148,22317,"OL2.1","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","mid",25148,FALSE,0.547866847537222,9200
"80","M_D21_OL2_2_S296_L001",27,1.24105784350393,1.78082893884056,"M_D21_OL2.2",NA,43030,40166,"OL2.2","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","mid",43030,FALSE,0.376553177223397,9200
"81","M_D21_OL2_3_S297_L001",22,1.45441765794309,2.20468832807679,"M_D21_OL2.3",NA,26488,24598,"OL2.3","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","mid",26488,FALSE,0.470526587676889,9200
"82","M_D21_OL2_4_S298_L001",27,1.61072744186477,2.48903562749841,"M_D21_OL2.4",NA,24313,22065,"OL2.4","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","mid",24313,FALSE,0.488715766996539,9200
"83","M_D21_OL2_5_S299_L001",31,1.72523074765741,2.80496077727637,"M_D21_OL2.5",NA,36637,32190,"OL2.5","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","mid",36637,FALSE,0.502398711737795,9200
"84","M_D21_OL2_6_S300_L001",29,1.86726060587116,3.26059605113465,"M_D21_OL2.6",NA,31339,27606,"OL2.6","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","mid",31339,FALSE,0.554528232786324,9200
"85","M_D21_OL2_7_S301_L001",24,2.06008259981964,5.13298705885663,"M_D21_OL2.7",NA,28489,22706,"OL2.7","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","mid",28489,FALSE,0.648221430407331,9200
"86","M_D21_OL2_8_S302_L001",19,1.75963369373849,3.74680189387024,"M_D21_OL2.8",NA,14552,12696,"OL2.8","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","mid",14552,FALSE,0.597612552404341,9200
"87","M_D21_OL3_1_S303_L001",26,1.91153422088295,3.36084669194449,"M_D21_OL3.1",NA,17314,14990,"OL3.1","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","mid",17314,FALSE,0.586702756832293,9200
"88","M_D21_OL3_2_S304_L001",28,1.853309644162,3.1269890036683,"M_D21_OL3.2",NA,25450,21819,"OL3.2","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","mid",25450,FALSE,0.556181242328538,9200
"89","M_D21_OL3_3_S305_L001",23,1.61220316425143,2.42807724796951,"M_D21_OL3.3",NA,25244,22094,"OL3.3","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","mid",25244,FALSE,0.514178325082216,9200
"90","M_D21_OL3_4_S306_L001",28,1.8977425450575,3.29412120015297,"M_D21_OL3.4",NA,31471,26897,"OL3.4","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","mid",31471,FALSE,0.569515628246275,9200
"91","M_D21_OL3_5_S307_L001",28,1.96179050639558,3.52073012888102,"M_D21_OL3.5",NA,32709,26914,"OL3.5","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","mid",32709,FALSE,0.588736525745964,9200
"92","M_D21_OL3_6_S465_L001",27,1.84296834869652,3.53960865578176,"M_D21_OL3.6",NA,24304,21186,"OL3.6","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","mid",24304,FALSE,0.559180694805086,9200
"93","M_D21_OL3_7_S308_L001",23,1.80539295370381,3.06552264915629,"M_D21_OL3.7",NA,20279,17085,"OL3.7","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","mid",20279,FALSE,0.575792149298802,9200
"94","M_D21_OL3_8_S309_L001",25,1.92679293411704,3.56413523231896,"M_D21_OL3.8",NA,21457,17178,"OL3.8","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","mid",21457,FALSE,0.598591880814767,9200
"95","M_D21_SG1_1_S310_L001",21,1.44892862592008,2.15446232317831,"M_D21_SG1.1",NA,11702,10748,"SG1.1","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","mid",11702,FALSE,0.4759132690129,9200
"96","M_D21_SG1_2_S311_L001",18,1.33766962297838,2.01127808024838,"M_D21_SG1.2",NA,13530,12365,"SG1.2","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","mid",13530,FALSE,0.462801928272383,9200
"97","M_D21_SG1_3_S312_L001",23,1.53108980333423,2.27212705184696,"M_D21_SG1.3",NA,22787,20640,"SG1.3","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","mid",22787,FALSE,0.488308922898307,9200
"98","M_D21_SG1_4_S313_L001",19,1.38597116623195,2.02947817042543,"M_D21_SG1.4",NA,12721,11567,"SG1.4","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","mid",12721,FALSE,0.470708062227974,9200
"99","M_D21_SG1_5_S314_L001",20,1.71961526971038,2.95263401536249,"M_D21_SG1.5",NA,12970,11673,"SG1.5","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","mid",12970,FALSE,0.574021679070244,9200
"100","M_D21_SG1_6_S315_L001",20,1.6557653038668,2.66382206726063,"M_D21_SG1.6",NA,13596,11804,"SG1.6","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","mid",13596,FALSE,0.552708036857539,9200
