sample_name,orgname,16scq,totsum,rspsum,mesocosm,type,stage,sex,date.collected,day,abdomen.length.mm,wing.length,hindleg.length,special,dispersal,temperature,infusion,Wolb_ct1,Wolb_ct2,Act_ct,notes
OL3_8_4_S102_L001,OL3.8_4,28.112961,50971,50352,OL3.8,A.albopictus,Adult,M,8/28/19,13,2.42,1.99,5.58,,D,H,OL,21.33387184,21.5819149,24.95266342,
SG2_5_4_S125_L001,SG2.5_4,25.25198361,57958,57901,SG2.5,A.albopictus,Adult,M,8/28/19,13,2.25,2.24,6.5,,N,H,SG,18.77474213,20.89191437,23.54012489,
SG2_6_3_S130_L001,SG2.6_3,26.84206042,32802,32707,SG2.6,A.albopictus,Adult,F,8/28/19,13,2.91,2.3,6.57,,N,H,SG,26.23536682,25.71041298,23.29417038,
SG2_7_2_S133_L001,SG2.7_2,28.7408796,53892,53480,SG2.7,A.albopictus,Adult,M,8/28/19,13,2.58,2.44,5.5,,D,H,SG,23.85400963,23.8502636,23.30236435,
SG2_8_1_S136_L001,SG2.8_1,27.35806462,57092,56746,SG2.8,A.albopictus,Adult,F,8/28/19,13,2.33,2.49,6.81,,D,H,SG,21.43252945,19.99762344,25.33081436,
OL1_1_1_S1_L001,OL1.1_1,28.64908028,47263,46749,OL1.1,A.albopictus,Adult,M,8/29/19,14,2.56,2.5,6.92,,N,C,OL,21.64093399,21.48554802,23.39183235,
OL2_1_1_S30_L001,OL2.1_1,29.7931032,30454,27155,OL2.1,A.albopictus,Adult,M,8/29/19,14,2.35,2.24,5.95,,N,C,OL,25.10674858,25.28806686,23.17961693,
OL2_1_2_S31_L001,OL2.1_2,30.19182173,16202,16054,OL2.1,A.albopictus,Adult,F,8/29/19,14,2.92,2.74,7,,N,C,OL,25.6781559,25.96525764,22.60851288,
OL2_1_3_S32_L001,OL2.1_3,28.26624527,20923,20702,OL2.1,A.albopictus,Adult,M,8/29/19,14,2.16,2.04,5.94,,N,C,OL,24.40324593,24.43476295,22.69040489,
OL2_5_3_S47_L001,OL2.5_3,25.56388409,39076,38998,OL2.5,A.albopictus,Adult,F,8/29/19,14,2.42,2.31,7,,N,H,OL,23.20717049,22.77883911,24.95811081,
OL2_6_5_S52_L001,OL2.6_5,28.58357139,42005,41620,OL2.6,A.albopictus,Adult,M,8/29/19,14,2.18,2.52,6,,N,H,OL,25.95645905,25.04725075,23.423069,
OL3_4_1_S84_L001,OL3.4_1,27.71467848,38462,38213,OL3.4,A.albopictus,Adult,F,8/29/19,14,2.61,2.42,7.62,,D,C,OL,21.3203125,20.93769646,22.80036926,
OL3_6_6_S95_L001,OL3.6_6,28.33303079,157,157,OL3.6,A.albopictus,Adult,M,8/29/19,14,2.04,2.06,6.09,,N,H,OL,25.0789547,24.84674263,24.97444725,
SG2_4_1_S120_L001,SG2.4_1,26.88893955,40768,40451,SG2.4,A.albopictus,Adult,M,8/29/19,14,2.6,2.6,6.21,,D,C,SG,24.25544739,24.58511734,24.55799294,
SG2_7_3_S134_L001,SG2.7_3,27.40752585,41973,41815,SG2.7,A.albopictus,Adult,F,8/29/19,14,2.39,2.46,7.04,,D,H,SG,20.65795708,20.0649128,23.27593422,
SG2_8_2_S137_L001,SG2.8_2,27.10076239,65015,64679,SG2.8,A.albopictus,Adult,M,8/29/19,14,2.73,2.36,6.17,,D,H,SG,19.36223221,20.20501518,23.44885063,
SG3_5_1_S142_L001,SG3.5_1,27.27557322,44906,44591,SG3.5,A.albopictus,Adult,F,8/29/19,14,2.49,2.21,6.49,,N,H,SG,25.11198235,25.26467896,23.61369896,
SG3_5_2_S143_L001,SG3.5_2,22.17228922,58620,58568,SG3.5,A.albopictus,Adult,F,8/29/19,14,2.38,2.12,6.01,,N,H,SG,23.35663605,22.98440552,23.95278549,
SG3_6_2_S146_L001,SG3.6_2,24.77571054,44835,44778,SG3.6,A.albopictus,Adult,M,8/29/19,14,2.51,2.06,6.21,,N,H,SG,18.71529579,19.114151,23.65268707,
SG3_8_1_S148_L001,SG3.8_1,27.11785004,35113,34034,SG3.8,A.albopictus,Adult,F,8/29/19,14,2.21,2.4,5.98,,D,H,SG,20.87402534,23.24341202,24.44379997,
OL1_1_2_S2_L001,OL1.1_2,27.96472877,51746,51500,OL1.1,A.albopictus,Adult,F,8/30/19,15,2.88,2.71,7.41,,N,C,OL,21.3106842,20.71905899,23.19894028,
OL1_1_3_S3_L001,OL1.1_3,27.37678021,3553,3369,OL1.1,A.albopictus,Adult,F,8/30/19,15,2.78,2.9,7.01,,N,C,OL,20.69716644,20.60089684,23.50626755,
OL1_4_1_S13_L001,OL1.4_1,27.56954199,43353,41983,OL1.4,A.albopictus,Adult,M,8/30/19,15,2.97,2.41,7.29,,D,C,OL,20.44104195,20.35607338,23.27729607,
OL1_6_2_S23_L001,OL1.6_2,28.69459292,50426,48291,OL1.6,A.albopictus,Adult,M,8/30/19,15,2.7,2.4,6.91,,N,H,OL,25.1973114,24.87471581,23.66290283,
OL2_2_1_S35_L001,OL2.2_1,30.13726722,45163,44508,OL2.2,A.albopictus,Adult,M,8/30/19,15,2.2,2.28,6.79,,N,C,OL,25.71555901,25.69972801,25.53823471,
OL2_4_1_S41_L001,OL2.4_1,28.37259563,30768,30564,OL2.4,A.albopictus,Adult,M,8/30/19,15,2.23,2.24,6.58,,D,C,OL,24.13054848,25.99279976,21.67697525,
OL2_6_6_S53_L001,OL2.6_6,27.96190978,37860,37699,OL2.6,A.albopictus,Adult,F,8/30/19,15,2.57,2.41,6.91,,N,H,OL,23.20103264,22.89125061,21.80788231,
OL2_8_8_S68_L001,OL2.8_8,26.19823578,44222,43908,OL2.8,A.albopictus,Adult,F,8/30/19,15,2.41,2.21,6.21,,D,H,OL,23.95362091,23.55234909,23.41036034,
OL3_2_1_S72_L001,OL3.2_1,25.5696132,45036,44931,OL3.2,A.albopictus,Adult,F,8/30/19,15,2.55,2.54,6.91,,N,C,OL,21.45275879,21.32028389,22.68870735,
OL3_3_1_S78_L001,OL3.3_1,28.25061269,31071,30914,OL3.3,A.albopictus,Adult,F,8/30/19,15,2.57,3.05,6.31,,D,C,OL,23.83854866,24.12313652,22.65111923,
OL3_4_2_S85_L001,OL3.4_2,27.79325438,31239,31111,OL3.4,A.albopictus,Adult,F,8/30/19,15,2.72,3,6.98,,D,C,OL,20.80007172,20.45063972,22.56747818,
OL3_5_2_S89_L001,OL3.5_2,30.21872335,37689,37199,OL3.5,A.albopictus,Adult,M,8/30/19,15,2.12,2.53,6.42,,N,H,OL,24.94665718,25.30950928,23.04212952,
OL3_8_5_S464_L001,OL3.8_5,26.85649045,50671,50448,OL3.8,A.albopictus,Adult,F,8/30/19,15,2.55,2.55,7.04,,D,H,OL,24.54693031,24.22942162,22.99457741,
SG2_8_3_S138_L001,SG2.8_3,26.78857721,60458,60345,SG2.8,A.albopictus,Adult,F,8/30/19,15,2.41,2.21,6.41,,D,H,SG,23.18609428,22.97434425,22.57222366,
SG3_5_3_S144_L001,SG3.5_3,25.80560921,38064,38009,SG3.5,A.albopictus,Adult,F,8/30/19,15,2.76,2.9,6.47,,N,H,SG,21.9112072,22.19952774,23.64299965,
OL1_1_4_S4_L001,OL1.1_4,28.13919224,73724,73364,OL1.1,A.albopictus,Adult,F,8/31/19,16,2.85,2.78,7.82,,N,C,OL,21.39477539,21.3096447,23.15345383,
OL1_1_5_S5_L001,OL1.1_5,32.15191463,60209,58692,OL1.1,A.albopictus,Adult,M,8/31/19,16,2.61,2.41,7.31,,N,C,OL,27.97010422,28.59294701,25.02994919,
OL1_3_1_S9_L001,OL1.3_1,29.10323895,45797,45478,OL1.3,A.albopictus,Adult,M,8/31/19,16,2.21,2.31,5.98,,D,C,OL,25.50611877,25.36514854,23.534235,
OL1_3_2_S10_L001,OL1.3_2,28.40578902,42557,42211,OL1.3,A.albopictus,Adult,M,8/31/19,16,2.5,2.48,6.92,,D,C,OL,25.60328102,25.01073456,23.71788788,
OL2_1_4_S33_L001,OL2.1_4,28.46084672,47266,46191,OL2.1,A.albopictus,Adult,M,8/31/19,16,2.41,2.17,6.6,,N,C,OL,24.67560768,24.06527519,23.30807304,
OL2_4_2_S42_L001,OL2.4_2,29.99130615,34793,34547,OL2.4,A.albopictus,Adult,M,8/31/19,16,2.72,2.47,7.11,,D,C,OL,25.14788437,24.00296021,22.95612526,
SG1_1_1_S103_L001,SG1.1_1,27.07609374,40655,40355,SG1.1,A.albopictus,Adult,M,8/31/19,16,2.98,2.67,7.21,,N,C,SG,23.86195946,24.02859306,23.51266861,
SG1_4_1_S104_L001,SG1.4_1,26.95158029,21863,21804,SG1.4,A.albopictus,Adult,M,8/31/19,16,3.01,2.76,6.98,,D,C,SG,24.4039917,23.68664551,23.24004555,
SG2_6_4_S131_L001,SG2.6_4,24.05784643,61898,61801,SG2.6,A.albopictus,Adult,F,8/31/19,16,2.53,2.89,6.32,,N,H,SG,22.8915062,22.61523247,24.14203644,
OL1_6_3_S24_L001,OL1.6_3,28.34357659,66455,65982,OL1.6,A.albopictus,Adult,M,9/1/19,17,2.42,2.27,6.84,,N,H,OL,21.03888702,20.92921448,23.33987999,
OL1_7_3_S28_L001,OL1.7_3,26.84866514,41689,41523,OL1.7,A.albopictus,Adult,F,9/1/19,17,2.72,2.9,8.24,,D,H,OL,24.6217308,24.5080471,22.90132523,
OL2_2_2_S36_L001,OL2.2_2,27.8862133,41705,40730,OL2.2,A.albopictus,Adult,F,9/1/19,17,2.55,2.15,6.92,,N,C,OL,21.34311867,20.81584358,23.03512192,
OL2_4_3_S43_L001,OL2.4_3,28.22859641,42469,42209,OL2.4,A.albopictus,Adult,F,9/1/19,17,2.71,2.64,7.1,,D,C,OL,24.29014778,24.14382744,22.57348251,
OL2_4_4_S44_L001,OL2.4_4,27.93981095,35753,35582,OL2.4,A.albopictus,Adult,F,9/1/19,17,2.82,2.84,6.99,,D,C,OL,24.61748314,26.60848045,22.2977047,
OL3_2_2_S73_L001,OL3.2_2,27.60295157,42319,42182,OL3.2,A.albopictus,Adult,F,9/1/19,17,2.85,2.74,7.23,,N,C,OL,21.23829269,19.80386734,22.55931282,
OL3_3_2_S79_L001,OL3.3_2,27.60364834,43605,43524,OL3.3,A.albopictus,Adult,M,9/1/19,17,2.32,2.24,6.3,,D,C,OL,23.36704636,22.82760429,23.50547028,
OL3_7_3_S98_L001,OL3.7_3,27.47687992,72002,71673,OL3.7,A.albopictus,Adult,M,9/1/19,17,2.37,2.41,6.23,,D,H,OL,24.47485924,24.24618721,24.88529778,
SG1_6_1_S105_L001,SG1.6_1,26.51601971,54121,54024,SG1.6,A.albopictus,Adult,M,9/1/19,17,2.77,2.61,7.01,,N,H,SG,23.51702881,26.74157715,22.70677567,
SG2_5_5_S126_L001,SG2.5_5,25.02476662,55490,55381,SG2.5,A.albopictus,Adult,F,9/1/19,17,2.8,2.48,6.34,,N,H,SG,23.44813728,23.26021194,22.34128761,
